ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
39,0,0,39:0:0,-7.40668,[H]c1nc2nc(Sc3nc(C([H])([H])N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc4sc(C([H])([H])[H])c(C([H])([H])[H])c34)nn2c([H])c1[H],True
42,0,0,42:0:0,-7.31433,[H]c1sc(N(C(=O)C([H])([H])[H])c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])nc1C([H])([H])n1nnn(-c2sc([H])c([H])c2[H])c1=O,True
45,0,0,45:0:0,-7.25492,[H]c1c([H])c(-c2nc(C([H])([H])OC(=O)c3oc4c([H])c([H])c(Cl)c([H])c4c(=O)c3[H])no2)c([H])c([H])c1Cl,True
49,0,0,49:0:0,-4.98645,[H]c1nc(Sc2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c(C(=O)N(C([H])([H])[H])C([H])([H])c2nc3c([H])c([H])sc3c(=O)n2[H])c([H])c1[H],True
51,0,0,51:0:0,-6.15304,[H]c1c(Br)sc(S(=O)(=O)[N-]c2c([H])c([H])c(N=Nc3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])c1[H],True
53,0,0,53:0:0,-7.4743,[H]c1c(-n2c(SC([H])(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[H])nc3c([H])c([H])c([H])c([H])c3c2=O)nc(C([H])([H])[H])c([H])c1[H],True
54,0,0,54:0:0,-7.83039,[H]c1nc([H])c(-c2nc(Oc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[N+](=O)[O-])c3c4c(sc3n2)C([H])([H])C([H])([H])C4([H])[H])c([H])c1[H],True
56,2,0,56:2:0,-8.89707,[H]C(C1=NC(=C([H])c2oc(-c3c([H])c([N+](=O)[O-])c([H])c([H])c3Cl)c([H])c2[H])C(=O)O1)=C([H])c1c([H])c([H])c([H])c([H])c1[H],True
59,0,0,59:0:0,-6.38772,[H]C1=C2C(=C([O-])C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])(c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c(OC([H])([H])[H])c1[H])n1nc([H])nc1N2[H],True
60,0,0,60:0:0,-5.9912,[H]c1c([H])c(N([H])C(=O)C([H])(Sc2nnc3c([H])c([H])c(Cl)nn23)C([H])([H])[H])c([H])c(Cl)c1OC([H])(F)F,True
61,0,0,61:0:0,-5.33485,[H]c1sc(C([H])([H])N(C(=O)N([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nc1C(=O)OC([H])([H])[H],True
64,0,0,64:0:0,-6.69263,[H]c1c(N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2sc(SC([H])([H])c3nc4c([H])c(C([H])([H])[H])on4c(=O)c3[H])nc2c1[H],True
65,0,0,65:0:0,-8.89391,[H]c1nc([H])c(-c2nnc3c([H])c([H])c(-c4c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])C([H])([H])C5([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H])c4[H])nn23)c([H])c1[H],True
67,0,0,67:0:0,-5.85074,[H]c1nc(C(=O)N([H])c2c([H])c([H])c(-n3nnc(C(=O)OC([H])([H])[H])c3[H])c([H])c2[H])c(Cl)c(Cl)c1Cl,True
68,0,0,68:0:0,-4.11469,[H]c1nc2c(c([H])c1[H])N(c1sc(C(=O)N([H])c3c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c3[H])c([H])c1[H])C([H])([H])C([H])([H])S2,True
69,0,0,69:0:0,-7.73697,[H]c1c([H])c(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1C([H])([H])C([H])([H])C(=O)N([H])c1nc2c(C([H])([H])[H])c([H])c([H])c([H])c2s1,True
72,0,0,72:0:0,-5.20212,[H]c1nc(SC([H])(C(=O)N([H])c2sc3c(c2C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C3([H])[H])C([H])([H])[H])c2nc([H])n([H])c2n1,True
74,0,0,74:0:0,-6.84478,[H]c1sc(N([H])C(=O)c2nn(C([H])([H])C([H])([H])C([H])([H])[H])c(=O)c([H])c2[H])nc1-c1oc2c([H])c([H])c(Cl)c([H])c2c1[H],True
77,0,0,77:0:0,-6.55773,[H]c1nn(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1C([H])([H])N(C(=O)c1sc(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])[H])C([H])([H])[H],True
79,0,0,79:0:0,-9.46661,[H]c1nc(N([H])C(=O)C([H])([H])Oc2c([H])c([H])c3c([H])c([H])c(=O)oc3c2[H])sc1C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c(F)c1[H],True
80,0,0,80:0:0,-6.04044,[H]c1sc(N([H])C(=O)C([H])([H])c2nc(N3C(=O)C([H])([H])C([H])([H])C3([H])[H])sc2[H])nc1-c1c(C([H])([H])[H])sc(C([H])([H])[H])c1[H],True
82,0,0,82:0:0,-7.85038,[H]C(=NOC([H])([H])C(=O)N([H])c1c([H])c([H])c(Cl)c([N+](=O)[O-])c1[H])c1c(F)c(F)c(F)c(F)c1F,True
84,0,0,84:0:0,-7.2578,[H]c1nc(N([H])C(=O)C([H])([H])Sc2nc(SC([H])([H])[H])nc3c4c(sc23)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])OC4([H])[H])sc1[H],True
86,0,0,86:0:0,-7.22747,[H]c1oc(C([H])(N2C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])C([H])([H])N([H])C(=O)c2c([H])c([H])c([N+](=O)[O-])c([H])c2Cl)c([H])c1[H],True
88,0,0,88:0:0,-10.1601,[H]c1c([H])c(N([H])C(=O)C([H])([H])C([H])([H])Oc2c([H])c(C([H])([H])[H])c([H])c([H])c2C([H])([H])[H])c([H])c(-c2nnc3n2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c1F,True
91,0,0,91:0:0,-7.63536,[H]C([H])(c1nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])C([H])([H])[H])c2c3c(sc2n1)C([H])([H])C([H])([H])C3([H])[H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],True
94,0,0,94:0:0,-7.57793,[H]c1sc2nc(C([H])([H])Sc3nnc4sc5c([H])c([H])c([H])c([H])c5n34)c([H])c(=O)n2c1[H],True
95,0,0,95:0:0,-6.17428,[H]c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)[n+]3c([H])c([H])c([H])c([H])c3N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])nc([H])c1[H],True
97,0,0,97:0:0,-6.51451,[H]C1=C([H])N(C([H])([H])[H])C([H])=C([H])C1=C(C#N)C(=O)C([H])([H])Sc1nc([H])nc2sc(C([H])([H])[H])c(C([H])([H])[H])c12,True
99,0,0,99:0:0,-8.48061,[H]C#CC([H])([H])n1c(=NC(=O)C2([H])Oc3c([H])c([H])c([H])c([H])c3OC2([H])[H])sc2c([H])c(F)c([H])c([H])c21,True
100,0,0,100:0:0,-6.86149,[H]c1nc2sc3c(c2c2nc(C([H])([H])N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])[H])nn12)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])OC3([H])[H],True
101,0,0,101:0:0,-8.58997,[H]C(C(=O)N(C([H])([H])[H])C([H])([H])c1nc2c([H])c([H])sc2c(=O)n1[H])=C([H])c1sc(Cl)c([H])c1[H],True
103,0,0,103:0:0,-7.90919,[H]c1c([H])c([H])c(N2C(=O)C([H])([H])C([H])(Sc3nc4c(c([H])c3C#N)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C2=O)c([H])c1[H],True
106,0,0,106:0:0,-8.64078,[H]c1nc(-c2nc(C([H])([H])[H])c(C(=O)N=c3sc4c([H])c([H])c([H])c([H])c4n3C([H])([H])[H])s2)c([H])c([H])c1[H],True
108,0,0,108:0:0,-4.83061,[H]c1oc(-c2nc3sc(C([H])(c4sc([H])c([H])c4[H])[N+]4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([O-])n3n2)c([H])c1[H],True
110,0,0,110:0:0,-4.13777,[H]c1oc(C2([H])Oc3nc(SC([H])([H])[H])nnc3-c3c([H])c([H])c([H])c([H])c3N2C(=O)C([H])([H])C([H])([H])[H])c([H])c1[H],True
111,0,0,111:0:0,-5.73119,[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)c3nnn(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3[H])C([H])([H])C2([H])[H])c([H])c([H])c1Cl,True
112,0,0,112:0:0,-7.67107,[H]c1c([H])c(F)c(Oc2c(C(F)(F)F)oc3c([H])c(=O)c([H])c([H])c-3c2[O-])c(Cl)c1[H],True
113,0,0,113:0:0,-7.29904,[H]c1sc2c(c1[H])C([H])(C([H])([H])C([H])([H])[H])N(S(=O)(=O)c1c([H])c([H])c3oc(=O)c([H])c([H])c3c1[H])C([H])([H])C2([H])[H],True
114,0,0,114:0:0,-6.19412,[H]c1c([H])c([H])c(C2([H])SC([H])([H])C([H])([H])N2C(=O)C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c3c2=O)c(F)c1[H],True
117,1,0,117:1:0,-7.41074,[H]C(C(=O)c1c2c(c(OC([H])([H])[H])c3c1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C3([H])[H])OC([H])([H])O2)=C([H])c1c([H])c([H])c([H])c(F)c1[H],True
118,0,0,118:0:0,-6.95211,[H]C(c1oc(C([H])([H])[H])c([H])c1[H])=c1sc2n(c1=O)C([H])([H])N(c1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H])C([H])([H])N=2,True
121,0,0,121:0:0,-7.48445,[H]c1c([H])c([H])c(C2([H])OC([H])([H])C([H])([H])N(C([H])([H])n3nnc4c([H])c([H])c([H])c([H])c4c3=O)C2([H])[H])c([H])c1[H],True
122,0,0,122:0:0,-7.79404,[H]C([H])([H])c1nc(N2C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C2([H])[H])c2c(C([H])([H])[H])c(C(=O)OC([H])([H])C([H])([H])[H])sc2n1,True
123,1,0,123:1:0,-8.15429,[H]C(=C(C#N)c1nc2c(s1)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c1oc([N+](=O)[O-])c([H])c1[H],True
124,0,0,124:0:0,-7.83636,[H]c1nc(Sc2nc3nc([H])c([H])c([H])n3n2)c2c([H])c([H])c(Cl)c([H])c2n1,True
125,0,0,125:0:0,-7.39014,[H]c1nc2nc(C(F)(F)C(F)(F)F)c(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nn2c1[H],True
126,1,0,126:1:0,-6.69259,[H]C(=C(C#N)C(=O)[N-]c1nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])s1)c1c([H])nn(C([H])([H])[H])c1[H],True
129,0,0,129:0:0,-8.12792,[H]c1c([H])c([N+](=O)[O-])c([H])c(Cl)c1Sc1nnc2n1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],True
131,0,0,131:0:0,-7.27426,[H]c1sc(-n2nnn(C([H])([H])c3c([H])c(F)c([H])c4c3OC([H])([H])OC4([H])[H])c2=O)c([H])c1[H],True
132,0,0,132:0:0,-8.17142,[H]c1nc(-n2nnc(-c3c([H])nc([H])c([H])c3[H])n2)c2c3c(sc2n1)C([H])([H])C([H])([H])C([H])([H])C3([H])[H],True
133,0,0,133:0:0,-6.87804,[H]c1c([H])c([H])c(OC([H])([H])C(=O)[N-]c2nnc(C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])s2)c(F)c1[H],True
134,0,0,134:0:0,-7.14676,[H]c1c([N-]S(=O)(=O)c2c([H])c(C([H])([H])[H])c(Cl)c([H])c2Cl)nc(C([H])([H])[H])c([H])c1[H],True
135,0,0,135:0:0,-7.63032,[H]c1sc(-c2sc([H])c([H])c2[H])nc1C(=O)[N-]c1nnc(C([H])(C([H])([H])[H])C([H])([H])[H])s1,True
136,0,0,136:0:0,-6.39367,[H]C1=C2C(=C([O-])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])(c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H])n1nc([H])nc1N2[H],True
137,2,0,137:2:0,-8.01077,[H]c1c([H])c2c(c([H])c1F)C(=NN=c1sc3c([H])c([H])c([H])c([H])c3n1C([H])([H])[H])C(=O)N2[H],True
138,1,0,138:1:0,-7.3511,[H]c1c(Cl)c([H])c([N-]N=C(C#N)C(=O)n2nc(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c1Cl,True
139,0,0,139:0:0,-7.43007,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C2([H])N(C([H])([H])[H])C([H])([H])n1nc([H])c2c([H])c([N+](=O)[O-])c([H])c([H])c21,True
140,0,0,140:0:0,-7.19883,[H]c1c(OC2([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c2oc(=O)c3c([H])c(OC([H])([H])[H])c([H])c([H])c3c2c1[H],True
143,0,0,143:0:0,-8.01055,[H]c1sc2c(=O)n(C([H])([H])[H])c(SC([H])([H])C(=O)c3sc(C([H])([H])[H])c([H])c3[H])nc2c1[H],True
145,0,0,145:0:0,-7.60122,[H]c1c([H])c([H])c2oc(SC([H])([H])c3nc4nc(C([H])([H])C([H])([H])[H])nn4c([O-])c3[H])nc2c1[H],True
146,0,0,146:0:0,-7.63189,[H]C([H])=C([H])n1nnc(N([H])C(=O)c2sc3c([H])c([H])c([H])c([H])c3c2Cl)n1,True
147,0,0,147:0:0,-6.79641,[H]c1c([H])c([H])c(-n2c(N=Nc3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)c([O-])[n+]([H])c2C([H])([H])[H])c([H])c1[H],True
149,1,0,149:1:0,-8.83927,[H]C(=C(C#N)c1nc2c([H])c([H])c([H])c([H])c2c(=O)[n-]1)c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])(C([H])([H])[H])O2,True
150,0,0,150:0:0,-7.25352,[H]Oc1c([H])c([H])c(Cl)c([H])c1N([H])C1=NC(=O)C(=C([H])c2nc3c([H])c([H])c([H])c([H])c3n2C([H])([H])[H])S1,True
151,0,0,151:0:0,-6.62429,[H]c1c(C(=O)N([H])c2c([H])c(C([H])([H])[H])nn2-c2nc3c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c3c(C([H])([H])[H])c2[H])nn([H])c(=O)c1[H],True
153,1,0,153:1:0,-4.93719,[H]c1nc2c(c(=O)[n-]1)SC(=C(C#N)c1nc3c([H])c([H])c([H])c([H])c3n1[H])N2c1c([H])c([H])c([H])c([H])c1[H],True
154,0,0,154:0:0,-6.49934,[H]c1nc2c(nc(SC([H])([H])C(=O)N([H])c3sc4c(c3C#N)C([H])([H])C([H])([H])C4([H])[H])n2[H])c([H])c1Cl,True
155,0,0,155:0:0,-5.73972,[H]c1c(Cl)c([H])c(Cl)c(N([H])N([H])C(=O)c2nc3nc(C([H])([H])[H])c([H])c(C([H])([H])[H])n3n2)c1Cl,True
160,0,0,160:0:0,-5.54334,[H]c1sc2nc3sc(C(=O)N([H])c4c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])c([H])c3n2c1[H],True
161,0,0,161:0:0,-6.88916,[H]c1c([H])c(-n2nc(C(=O)N([H])c3c([H])c([H])c([H])c4c([H])nn([H])c34)c(=O)c([H])c2C([H])([H])[H])c([H])c([H])c1Cl,True
164,0,0,164:0:0,-7.68734,[H]c1c(Cl)nc(N([H])N([H])C(=O)c2nc3c(Cl)c([H])c(C(F)(F)F)c([H])n3c2[H])c([H])c1[H],True
165,0,0,165:0:0,-6.87754,[H]c1nc(N([H])c2c([H])c([H])c(N([H])S(=O)(=O)C([H])([H])[H])c([H])c2[H])c2c3c(sc2n1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H],True
166,0,0,166:0:0,-8.12534,[H]Oc1c([H])c([H])c(-c2c([H])sc(N([H])c3c([H])c([H])c([H])c([H])c3[H])[n+]2N=C([H])c2c([H])nn(C([H])([H])[H])c2[H])c([O-])c1[H],True
167,0,0,167:0:0,-6.37154,[H]c1c([H])c([H])c2c(c1[H])OC([H])([H])C([H])(C(=O)N([H])N([H])c1nc3c(OC([H])([H])[H])c([H])c([H])c(Cl)c3s1)O2,True
168,0,0,168:0:0,-7.71285,[H]c1c([H])c(N([H])C(=O)C2([H])n3nc(-c4c([H])c([H])c(Cl)c([H])c4[H])nc3N([H])C(=O)C2([H])[H])c([H])c([H])c1F,True
171,0,0,171:0:0,-6.8105,[H]c1nc(N([H])C(=O)C([H])([H])Sc2nc3sc4c(c3c(=O)n2[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C4([H])[H])sc1[H],True
173,0,0,173:0:0,-7.49749,[H]Oc1c([H])c([H])c(N2C(=O)C([H])([H])C([H])(N([H])c3c([H])c(Cl)c(Cl)c([H])c3Cl)C2=O)c([H])c1[H],True
175,0,0,175:0:0,-7.7955,[H]c1nc(C(=O)OC([H])([H])c2nc(N([H])[H])c3c([H])c([H])c([H])c([H])c3n2)c(Cl)c(Cl)c1Cl,True
176,0,0,176:0:0,-9.36917,[H]c1c(C(=O)N([H])c2c([H])c(C3([H])C([H])([H])C3([H])[H])nn2-c2nc3c(c(=O)n2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],True
178,1,0,178:1:0,-9.91621,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(N([H])C([H])=C2C(=O)N(c3nc(C([H])([H])[H])c([H])c([H])c3[H])C(=O)c3c([H])c([H])c([H])c([H])c32)c1[H],True
179,1,0,179:1:0,-6.47089,[H]c1c([H])c([H])c2c(c1[H])C(=NN([H])C(=O)c1sc3c([H])c(OC([H])([H])[H])c([H])c([H])c3c1Cl)C(=O)N2[H],True
180,0,0,180:0:0,-4.58692,[H]c1nn([H])c([H])c1C([H])([H])C([H])([H])c1nc2nc(N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])nn2c([O-])c1[H],True
183,0,0,183:0:0,-7.46858,[H]Oc1c(N=NC2=[N+]([H])C(=O)C([H])(C([H])([H])C(=O)N([H])c3c([H])c([H])c([H])c([H])c3[H])S2)c2c([H])c([H])c([H])c([H])c2n1[H],True
184,0,0,184:0:0,-6.83205,[H]c1c([H])c([H])c2c(c1[H])N([H])C(=C(C#N)C(=O)C([H])([H])OC(=O)c1c([H])c(C([H])([H])[H])nc3c([H])c([H])c([H])c([H])c13)N2[H],True
185,0,0,185:0:0,-6.33407,[H]c1nc(SC([H])([H])c2nc(N([H])c3nc(C([H])([H])[H])c4c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c4n3)n([H])c(=O)c2[H])nc([H])c1[H],True
186,0,0,186:0:0,-9.69932,[H]c1c([H])c(-n2c(C([H])([H])Sc3nnc(N([H])[H])s3)nc3c([H])c([N+](=O)[O-])c([H])c([H])c32)c([H])c([H])c1F,True
187,0,0,187:0:0,-7.78946,[H]C(C(=O)N([H])C([H])(c1oc2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])[H])=C([H])c1c([H])c([N+](=O)[O-])c([H])c2c1OC([H])([H])OC2([H])[H],True
188,0,0,188:0:0,-7.83748,[H]c1c([H])c([H])c(C([H])([H])n2c([H])c([H])c([H])c([H])c2=NC(=O)c2sc3nc(N([H])[H])nc(OC([H])([H])[H])c3c2[H])c([H])c1[H],True
189,0,0,189:0:0,-7.12457,[H]c1c2c(c([H])c(N([H])C(=O)C([H])([H])OC(=O)c3c([H])c4c([H])c([H])c(C([H])([H])[H])c([H])c4n3[H])c1C(=O)C([H])([H])[H])OC([H])([H])O2,True
190,0,0,190:0:0,-7.15243,[H]C(=Nc1nc(C([H])([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])s1)c1c([O-])n([H])c(=O)c2c([H])c([H])c([H])c([H])c12,True
192,0,0,192:0:0,-7.46471,[H]c1c([H])c([H])c(-n2nnn(C([H])([H])C(=O)N([H])c3c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c3[H])c2=O)c(Cl)c1[H],True
193,0,0,193:0:0,-4.88982,[H]c1c([H])c(N([H])c2nc([O-])c(C3=c4c([H])c([H])c([H])c([H])c4=NC3=O)s2)c(OC([H])([H])[H])c([H])c1OC([H])([H])[H],True
194,0,0,194:0:0,-6.68926,[H]Oc1c(C(=O)[O-])c([H])c2c([H])c([H])c([H])c([H])c2c1C([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)c1c([H])nc([H])c([H])c1[H],True
195,0,0,195:0:0,-6.87768,[H]c1c([H])c(-c2noc(-c3nnn(-c4c([H])c(C([H])([H])[H])c([H])c([H])c4OC([H])([H])[H])c3N([H])[H])n2)c([H])c2c1OC([H])([H])O2,True
196,0,0,196:0:0,-7.50952,[H]c1nc2nc(C(=O)OC([H])(C(=O)N([H])c3c([H])c(Cl)c([H])c(Cl)c3[H])C([H])([H])[H])nn2c(C([H])([H])[H])c1[H],True
198,0,0,198:0:0,-6.59459,[H]c1c(N([H])C(=O)N([H])C(=O)C([H])(Sc2nnnn2-c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])C([H])([H])[H])noc1C([H])([H])[H],True
199,0,0,199:0:0,-6.89159,[H]c1c([H])c(N([H])C(=O)N([H])C2([H])C([H])([H])Oc3nc([N+](=O)[O-])c([H])n3C2([H])[H])c([H])c([H])c1OC(F)(F)F,True
202,0,0,202:0:0,-7.30197,[H]c1nc(N([H])C(=O)C2([H])n3nc(SC([H])([H])c4c([H])c([H])c([H])c([H])c4[H])nc3[N-]C(=O)C2([H])[H])c([H])c(C([H])([H])[H])c1[H],True
203,0,0,203:0:0,-5.79191,[H]c1c([H])c(N([H])C(=O)c2c([H])c(C3([H])C([H])([H])C3([H])[H])nc3c2c(=O)n([H])c(=O)n3C([H])([H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],True
204,0,0,204:0:0,-6.8096,[H]c1c2c(c([H])c(OC([H])([H])C([H])([H])[H])c1N([H])C(=O)c1nn([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c13)C([H])([H])C([H])(C([H])([H])[H])O2,True
205,0,0,205:0:0,-7.56945,[H]c1c([H])c([H])c2c(c1[H])N([H])C(C([H])([H])C([H])([H])C([H])([H])C(=O)N([H])c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)=NS2(=O)=O,True
206,0,0,206:0:0,-8.72501,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])c1sc2c(c1C(=O)N([H])C([H])([H])C1([H])OC([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],True
209,0,0,209:0:0,-8.47476,[H]C(=C(C(=O)N([H])C([H])([H])[H])N([H])C(=O)c1c([H])c([H])c(Cl)c([H])c1Cl)c1c([H])c([H])c([H])c([N+](=O)[O-])c1[H],True
210,0,0,210:0:0,-6.04216,[H]C(=NN([H])c1nnc2c3c([H])c([H])c([H])c([H])c3n(C([H])([H])[H])c2n1)c1c(Cl)c([H])c([H])c([H])c1Cl,True
211,1,0,211:1:0,-4.80275,[H]Oc1c(Cl)c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1N=C([H])c1c([H])c(Cl)c([H])c(Cl)c1[O-],True
212,0,0,212:0:0,-5.92811,[H]c1c([H])c([H])c(C2([H])C([H])([H])c3sc(N([H])C(=O)c4nn(C([H])([H])C([H])([H])[H])c([H])c4[H])c(C#N)c3C([H])([H])C2([H])[H])c([H])c1[H],True
213,0,0,213:0:0,-8.79347,[H]c1c([H])c(-c2nc(SC([H])([H])c3nc4c([H])c([H])c(Cl)c([H])n4c3[H])nn2[H])c([H])c([H])c1Cl,True
215,1,0,215:1:0,-6.37464,[H]C(=C(C#N)C(=O)[N-]c1nc(-c2c([H])c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])s1)c1c([H])c([H])c([H])n1C([H])([H])[H],True
217,0,0,217:0:0,-7.60948,[H]c1c(C(=O)[N-]c2nnc(C(F)(F)F)s2)sc(-c2c([H])c([H])c(F)c([H])c2[H])c1[H],True
219,0,0,219:0:0,-6.11586,[H]c1nc(OC([H])([H])C([H])([H])[H])c2sc3nc(N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c4c(c3c2n1)C([H])([H])C([H])([H])C([H])([H])C4([H])[H],True
